,id_text,text_name,version,l_no,text
0,Q000767,A dialogue between two unnamed scribes,,1,sux:dumu[child]N sux:edubbaʾa[scribal-school]N sux:ud[sun]N sux:ul[distant]V/i sux:ŋen[go]V/i sux:gana[come-on!]J sux:sa[equal]V/t
1,Q000767,A dialogue between two unnamed scribes,,2,sux:tukum[if]CNJ sux:namdubsar[the-scribal-arts]N sux:zu[know]V/t sux:ana[what?]QP sux:šid[count]V/t
2,Q000767,A dialogue between two unnamed scribes,,3,sux:mu[name]N sux:didli[several]AJ sux:zig[rise]V/t sux:namdubsar[the-scribal-arts]N
3,Q000767,A dialogue between two unnamed scribes,,4,sux:niŋziŋal[living-creature]N sux:edin[steppe]N sux:zag[side]N lu₂-šu-ka-še₃[NA]NA
4,Q000767,A dialogue between two unnamed scribes,,5,sux:sar[write]V/t sux:egir[back]N sux:gu[neck]N sux:du[build]V/t
5,Q000767,A dialogue between two unnamed scribes,,6,sux:ara[times]N sux:igi[~mathematics]N sux:dirig[excess]N sux:niŋkas[account]N sux:sahar[dust]N sux:ŋar[place]V/t sux:zag[side]N sux:zu[know]V/t
6,Q000767,A dialogue between two unnamed scribes,,7,sux:kaʾinima[formula]N sux:namdumu[status]N sux:edubbaʾa[scribal-school]N
7,Q000767,A dialogue between two unnamed scribes,,8,sux:šid[count]V/t sux:dirig[excess]N sux:zu[know]V/t
8,Q000767,A dialogue between two unnamed scribes,,9,sux:ŋen[go]V/i sux:gabari[copy]N sux:gub[stand]V/i sux:in[abuse]N sux:til[complete]V/i
9,Q000767,A dialogue between two unnamed scribes,,10,sux:lu₂.IM[criminal]N sux:u[cvne]N sux:hub[cvve]V/t sux:ŋeštug[ear]N sux:la[hang]V/t
10,Q000767,A dialogue between two unnamed scribes,,11,sux:ŋeš[penis]N sux:gudu[buttocks]N sux:kešed[bind]V/t sux:šir[testicle]N sux:dili[single]V/i sux:tulu[slacken]V/t
11,Q000767,A dialogue between two unnamed scribes,,12,sux:meze[jaw]N sux:gid[long]V/i sux:nundum[lip]N sux:gur[thick]V/i sux:ib[hips]N sux:kud[cut]V/t sux:gudu[buttocks]N ku-da[NA]NA
12,Q000767,A dialogue between two unnamed scribes,,13,sux:ŋaʾe[I]IP sux:dim[create]V/t
13,Q000767,A dialogue between two unnamed scribes,,14,sux:lu₂.IM[criminal]N sux:umun[insect]N sux:gada[flax]N sux:la[hang]V/t
14,Q000767,A dialogue between two unnamed scribes,,15,sux:nimsahara[fly]N sux:kid[mat]N sux:ašrinna[object]N sux:sag[beat]V/t
15,Q000767,A dialogue between two unnamed scribes,,16,sux:šah[pig]N sux:uttukku[abacus]N sux:tuku[beat]V/t
16,Q000767,A dialogue between two unnamed scribes,,17,sux:amsi[elephant]N sux:munu[malt]N sux:sissig[green]V/i sux:barag[spread]V/t
17,Q000767,A dialogue between two unnamed scribes,,18,sux:kaʾa[fox]N sux:utul[tureen]N sux:bar[outside]V/t
18,Q000767,A dialogue between two unnamed scribes,,19,sux:lulim[stag]N sux:aguhum[clothing]N sux:sig[tie]V/t
19,Q000767,A dialogue between two unnamed scribes,,20,sux:urbara[wolf]N sux:siki[hair]N sux:peš[thick]V/i
20,Q000767,A dialogue between two unnamed scribes,,21,sux:ninka[mongoose]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x-ta-si-si[NA]NA
21,Q000767,A dialogue between two unnamed scribes,,22,sux:zahda[piglet]N x[NA]NA x[NA]NA x[NA]NA
22,Q000767,A dialogue between two unnamed scribes,,23,x[NA]NA x-re[NA]NA
23,Q000767,A dialogue between two unnamed scribes,,24,x-gi-a[NA]NA sux:šurum[litter]N sux:kag[mouth]N sux:gu[eat]V/t
24,Q000767,A dialogue between two unnamed scribes,,25,sux:lu₂.IM[criminal]N sux:i[oil]N sux:dug[pot]N sux:hulu[bad]V/i
25,Q000767,A dialogue between two unnamed scribes,,26,sux:kuš[skin]N sux:niŋŋala[possessions]N sux:e[house]N sux:niŋgur[property]N sux:hulu[bad]V/i
26,Q000767,A dialogue between two unnamed scribes,,27,sux:ašag[field]N sux:tur[small]V/i sux:e[house]N sux:ŋen[go]V/i
27,Q000767,A dialogue between two unnamed scribes,,28,sux:tug[textile]N sux:til[complete]V/i sux:tug[textile]N sux:siki[hair]N sux:du[spread]V/t
28,Q000767,A dialogue between two unnamed scribes,,29,sux:i[oil]N sux:silim[vessel]N sux:til[complete]V/i sux:er[tears]N sux:šeš[weep]V/t
29,Q000767,A dialogue between two unnamed scribes,,30,sux:gud[nest]N sux:umun[insect]N sux:kiŋ[work]N sux:sag[good]V/i
30,Q000767,A dialogue between two unnamed scribes,,31,sux:niŋdara[rag]N sux:a[water]N sux:naŋ[drink]V/t
31,Q000767,A dialogue between two unnamed scribes,,32,sux:niŋ[thing]N sux:ud[sun]N sux:sa[equal]V/t
32,Q000767,A dialogue between two unnamed scribes,,33,sux:namtar[fate]N sux:egir[back]N sux:sa[equal]V/t
33,Q000767,A dialogue between two unnamed scribes,,34,sux:a[water]N sux:nu[not]V/i sux:kaš[beer]N sux:nu[not]V/i sux:duh[bran]N sux:nu[not]V/i sux:dida[wort]N sux:nu[not]V/i sux:zid[flour]N sux:nu[not]V/i sux:zidmilla[flour]N sux:nu[not]V/i sux:tug[textile]N sux:nu[not]V/i sux:niŋdara[rag]N sux:nu[not]V/i
34,Q000767,A dialogue between two unnamed scribes,,35,sux:an[sky]N sux:teŋ[approach]V/i sux:ki[place]N sux:teŋ[approach]V/i
35,Q000767,A dialogue between two unnamed scribes,,36,sux:kaš[beer]N sux:tuku[acquire]V/t sux:duh[bran]N sux:tuku[acquire]V/t sux:zid[flour]N sux:tuku[acquire]V/t sux:inbulbul[chaff?]N sux:tuku[acquire]V/t
36,Q000767,A dialogue between two unnamed scribes,,37,sux:lu₂.IM[criminal]N sux:zaʾe[you]IP sux:ŋaʾe[I]IP sux:inim[word]N sux:gabari[copy]N sux:šum[give]V/t
37,Q000767,A dialogue between two unnamed scribes,,38,sux:bar[outside]V/t sux:en[cvne]N sux:tar[cut]V/t sux:ur[he]IP sux:dumu[child]N sux:lu[person]N sux:gin[firm]V/i sux:me[be]V/i
38,Q000767,A dialogue between two unnamed scribes,,39,sux:e[house]N sux:adda[father]N sux:šaggal[food]N sux:itud[moon]N sux:kaš[beer]N sux:zidmunu[ration]N sux:še[barley]N sux:dirig[exceed]V/i
39,Q000767,A dialogue between two unnamed scribes,,40,sux:ama[mother]N sux:šu[hand]N sux:bala[turn]V/t sux:ak[do]V/t
40,Q000767,A dialogue between two unnamed scribes,,41,sux:huluh[frightened]V/i sux:dul[cover]V/t sux:niŋdara[rag]N sux:bur[spread]V/t
41,Q000767,A dialogue between two unnamed scribes,,42,sux:dud[combat]N sux:mu[grow]V/t sux:esir[street]N sux:gub[stand]V/i
42,Q000767,A dialogue between two unnamed scribes,,43,sux:lu[person]N sux:kapiriŋ[priest]N sux:dab[seize]V/t sux:gabal[fight]N sux:du[build]V/t
43,Q000767,A dialogue between two unnamed scribes,,44,sux:lu[person]N sux:ŋešba[fist]N sux:aškud[extremities]N sux:šar[mix]V/t sux:šag[heart]N sux:sed[cold]V/i
44,Q000767,A dialogue between two unnamed scribes,,45,sux:lu₂.IM[criminal]N sux:anaš[why?]QP sux:dirig[excess]N sux:niŋ[thing]N sux:gur[thick]V/i
45,Q000767,A dialogue between two unnamed scribes,,46,sux:did[lawsuit]N sux:dug[speak]V/t sux:egir[back]N sux:til[complete]V/i
46,Q000767,A dialogue between two unnamed scribes,,47,sux:šu[hand]N sux:kag[mouth]N sux:sa[equal]V/t
47,Q000767,A dialogue between two unnamed scribes,,48,sux:namdubsar[the-scribal-arts]N sux:šid[count]V/t sux:ki[place]N sux:gi[turn]V/i
48,Q000767,A dialogue between two unnamed scribes,,49,sux:niŋziŋal[living-creature]N sux:edin[steppe]N sux:zag[side]N lu₂-šu-ka-še₃[NA]NA sux:sar[write]V/t
49,Q000767,A dialogue between two unnamed scribes,,50,sux:emeŋir[Sumerian]N sux:eme[tongue]N sux:si[horn]N sux:sa[equal]V/t
50,Q000767,A dialogue between two unnamed scribes,,51,sux:ara[times]N sux:šid[count]V/t sux:zag[side]N sux:zu[know]V/t
51,Q000767,A dialogue between two unnamed scribes,,52,sux:igi[~mathematics]N sux:dirig[excess]N sux:duh[loosen]V/t sux:kiʾus[unmng]N sux:dab[seize]V/t
52,Q000767,A dialogue between two unnamed scribes,,53,sux:kaʾinima[formula]N sux:namdumu[status]N sux:edubbaʾa[scribal-school]N sux:šu[hand]N sux:tum[bring]V/t
53,Q000767,A dialogue between two unnamed scribes,,54,sux:en[cvne]N sux:tar[cut]V/t sux:šu[hand]N sux:šum[give]V/t
54,Q000767,A dialogue between two unnamed scribes,,55,sux:šu[hand]N sux:sag[good]V/i sux:ki[place]N sux:namdubsar[the-scribal-arts]N sux:gu[voice]N sux:de[pour]V/t
55,Q000767,A dialogue between two unnamed scribes,,56,sux:lu₂.IM[criminal]N sux:eh[insect]N sux:ze[gall-bladder]N sux:šaŋar[starvation]N sux:uš[die]V/i
56,Q000767,A dialogue between two unnamed scribes,,57,niŋ₂-ur₅-ra[NA]NA sux:eh[insect]N sux:ur[he]IP sux:ŋen[go]V/i sux:urra[loan]N sux:mete[one's-own]RP
57,Q000767,A dialogue between two unnamed scribes,,58,sux:gabari[copy]N sux:me[be]V/i
58,Q000767,A dialogue between two unnamed scribes,,59,sux:anaš[why?]QP sux:ŋaʾe[I]IP sux:gabari[copy]N sux:me[be]V/i
59,Q000767,A dialogue between two unnamed scribes,,60,sux:lu₂.IM[criminal]N sux:lul[false]V/i sux:dug[speak]V/t sux:ragaba[rider]N sux:ki[place]N sux:bad[open]V/t
60,Q000767,A dialogue between two unnamed scribes,,61,sux:gud[ox]N sux:sa[sinew]N sux:kud[cut]V/t sux:šudul[yoke]N sux:nud[lie]V/i
61,Q000767,A dialogue between two unnamed scribes,,62,sux:gud[ox]N sux:gu[voice]N sux:rah[beat]V/t sux:bir[scatter]V/t sux:zir[break]V/t
62,Q000767,A dialogue between two unnamed scribes,,63,sux:geme[worker]N sux:šukud[fisherman]N sux:ban[unit]N sux:ud[sun]N sux:zal[pass]V/t
63,Q000767,A dialogue between two unnamed scribes,,64,sux:saŋ[head]N sux:lu₂.IM[criminal]N sux:udun[kiln]N sux:bahar[potter]N sux:nud[lie]V/i
64,Q000767,A dialogue between two unnamed scribes,,65,sux:šaŋanla[trader]N sux:kug[metal]N sux:damgar[merchant]N sux:til[complete]V/i
65,Q000767,A dialogue between two unnamed scribes,,66,sux:lu[person]N sux:kurun[beer]N sux:zidmunu[ration]N sux:gu[eat]V/t
66,Q000767,A dialogue between two unnamed scribes,,67,sux:kiši[half]N sux:ak[do]V/t sux:ŋen[go]V/i sux:lu[person]N sux:šed[defecate]V/t sux:sila[street]N sux:bar[outside]V/t
67,Q000767,A dialogue between two unnamed scribes,,68,sux:galam[skilful]V/i sux:hurum[child]N sux:uš[poison]N sux:zaga[part-of-the-face]N sux:bar[outside]V/t
68,Q000767,A dialogue between two unnamed scribes,,69,sux:ana[what?]QP sux:zaʾe[you]IP sux:ŋaʾe[I]IP sux:sa[equal]V/t
69,Q000767,A dialogue between two unnamed scribes,,70,sux:lunisub[ecstatic]N sux:lu₂.IM[criminal]N sux:dimma[thought]N sux:ugubi[monkey]N
70,Q000767,A dialogue between two unnamed scribes,,71,sux:e[house]N sux:tuku[acquire]V/t sux:esir[street]N sux:nud[lie]V/i
71,Q000767,A dialogue between two unnamed scribes,,72,sux:šurin[oven]N sux:namlulu[humanity]N sux:zidmunu[ration]N sux:barag[spread]V/t
72,Q000767,A dialogue between two unnamed scribes,,73,sux:utul[tureen]N sux:arzana[groats]N sux:šurin[oven]N sux:ed[ascend]V/i
73,Q000767,A dialogue between two unnamed scribes,,74,sux:gaz[kill]V/t sux:tu[soup]N sux:bil[burn]V/t
74,Q000767,A dialogue between two unnamed scribes,,75,sux:masila[heel]N sux:sasal[back]N sux:su[flesh]N sux:zil[boil]V/i
75,Q000767,A dialogue between two unnamed scribes,,76,sux:gigur[container]N sux:nisig[greenery]N sux:zu[tooth]N sux:rah[beat]V/t
76,Q000767,A dialogue between two unnamed scribes,,77,sux:gigur[container]N sux:šukud[fisherman]N sux:kud[fish]N sux:kar[flee]V/t
77,Q000767,A dialogue between two unnamed scribes,,78,sux:ud[sun]N sux:didli[several]AJ sux:ŋešba[fist]N sux:dagum[unmng]N sux:igi[eye]N sux:kiri[nose]N sux:gud[jump]V/t
78,Q000767,A dialogue between two unnamed scribes,,79,sux:gabsa[buyer]N sux:šakanka[market]N sux:lu[person]N sux:še[barley]N sux:sa[roast]V/t
79,Q000767,A dialogue between two unnamed scribes,,80,sux:lunisub[ecstatic]N sux:igi[face]N sux:kar[flee]V/t
80,Q000767,A dialogue between two unnamed scribes,,81,sux:udun[kiln]N sux:bahar[potter]N sux:gur[thick]V/i
81,Q000767,A dialogue between two unnamed scribes,,82,sux:gumur[spine]N sux:zag[side]N sux:gudu[buttocks]N
82,Q000767,A dialogue between two unnamed scribes,,83,sux:zukešed[troops]N sux:sim[carbuncle]N sux:si[fill]V/t
83,Q000767,A dialogue between two unnamed scribes,,84,sux:bisaŋ[basket]N sux:ninda[bread]N sux:kurum[ration]N sux:lukur[priestess]N sux:šub[fall]V/t
84,Q000767,A dialogue between two unnamed scribes,,85,sux:geme[worker]N sux:lukur[priestess]N sux:tur[small]V/i
85,Q000767,A dialogue between two unnamed scribes,,86,sux:igi[eye]N sux:zahda[piglet]N sux:ur[roam]V/i
86,Q000767,A dialogue between two unnamed scribes,,87,sux:e[house]N sux:diŋir[deity]N sux:eš[shrine]N sux:didli[several]AJ sux:idu[doorkeeper]N sux:gudug[priest]N sux:usag[sleep]N sux:igi[face]N sux:dag[demolish]V/t sux:ennuŋ[imprisonment]N sux:ak[do]V/t
87,Q000767,A dialogue between two unnamed scribes,,88,sux:lu₂.IM[criminal]N sux:saŋ[head]N sux:kag[mouth]N sux:gu[eat]V/t
88,Q000767,A dialogue between two unnamed scribes,,89,sux:šaggal[food]N sux:kuš[devastation]N sux:kalam[land]N sux:niŋin[encircle]V/t
89,Q000767,A dialogue between two unnamed scribes,,90,sux:anaš[why?]QP sux:in[abuse]N sux:zu[know]V/t sux:dub[tremble]V/i
90,Q000767,A dialogue between two unnamed scribes,,91,sux:aga[rear]N sux:gub[stand]V/i sux:igi[eye]N sux:in[abuse]N sux:til[complete]V/i
91,Q000767,A dialogue between two unnamed scribes,,92,sux:ŋen[go]V/i sux:zal[pass]V/t sux:kiŋ[work]N sux:la[hang]V/t
92,Q000767,A dialogue between two unnamed scribes,,93,sux:ni[self]RP sux:buluŋ[grow]V/t sux:ašag[field]N sux:ŋen[go]V/i sux:aŋala[sack]N sux:šu[hand]N sux:la[hang]V/t
93,Q000767,A dialogue between two unnamed scribes,,94,sux:luhuŋa[hireling]N sux:egir[back]N sux:karkid[prostitute]N
94,Q000767,A dialogue between two unnamed scribes,,95,sux:gigur[container]N sux:u[grass]N sux:deg[collect]V/t sux:il[raise]V/t
95,Q000767,A dialogue between two unnamed scribes,,96,sux:ud[sun]N sux:buru[harvest]N sux:a[arm]N sux:šaggal[food]N sux:sa[equal]V/t
96,Q000767,A dialogue between two unnamed scribes,,97,sux:kiŋ[work]N sux:zah[disappear]V/i sux:šakanka[market]N sux:šeg[voice]N sux:dug[speak]V/t sux:gub[stand]V/i
97,Q000767,A dialogue between two unnamed scribes,,98,sux:e[house]N sux:lu[person]N sux:diŋir[deity]N sux:kašdea[banquet]N sux:du[go]V/t
98,Q000767,A dialogue between two unnamed scribes,,99,sux:egir[back]N sux:lu[person]N sux:kašdea[banquet]N sux:kur[enter]V/i
99,Q000767,A dialogue between two unnamed scribes,,100,sux:ugu[skull]N sux:imhur[foam]N sux:sag[beat]V/t
100,Q000767,A dialogue between two unnamed scribes,,101,sux:gu[neck]N sux:ki[place]N sux:ŋar[place]V/t
101,Q000767,A dialogue between two unnamed scribes,,102,sux:ni[self]RP sux:šu[hand]N sux:zu[know]V/t sux:kar[blow]V/t
102,Q000767,A dialogue between two unnamed scribes,,103,sux:niŋ[thing]N sux:gu[eat]V/t sux:šu[hand]N sux:paphala[restless]AJ sux:zig[rise]V/t
103,Q000767,A dialogue between two unnamed scribes,,104,sux:emeš[summer]N sux:inim[word]N sux:ŋissu[shade]N sux:niŋin[encircle]V/t
104,Q000767,A dialogue between two unnamed scribes,,105,sux:ud[sun]N sux:sed[cold]V/i sux:inim[word]N sux:gaba[chest]N sux:ud[sun]N sux:niŋin[encircle]V/t
105,Q000767,A dialogue between two unnamed scribes,,106,sux:lu₂.IM[criminal]N sux:saŋ[head]N sux:gu[neck]N sux:ne[brazier]N sux:nud[lie]V/i
106,Q000767,A dialogue between two unnamed scribes,,107,sux:bala[turn]V/t sux:ašuŋiri[limbs]N sux:kud[cut]V/t sux:kuš[skin]N sux:sil[split]V/t
107,Q000767,A dialogue between two unnamed scribes,,108,sux:e[house]N sux:burud[perforate]V/t sux:dun[dig]V/t sux:dug[speak]V/t
108,Q000767,A dialogue between two unnamed scribes,,109,sux:anaš[why?]QP sux:gabal[fight]N sux:du[build]V/t
109,Q000767,A dialogue between two unnamed scribes,,110,sux:in[abuse]N sux:dub[tremble]V/t sux:su[flesh]N sux:ŋal[be]V/i
110,Q000767,A dialogue between two unnamed scribes,,111,sux:ŋen[go]V/i sux:esir[street]N sux:e[leave]V/i
111,Q000767,A dialogue between two unnamed scribes,,112,sux:lu[person]N sux:zu[know]V/t sux:igi[eye]N sux:duh[loosen]V/t
112,Q000767,A dialogue between two unnamed scribes,,113,sux:naŋah[fool]N sux:me[be]V/i sux:egir[back]N sux:inim[word]N sux:zu[know]V/t
113,Q000767,A dialogue between two unnamed scribes,,114,sux:lu[person]N sux:sikildua[insulting]AJ sux:me[be]V/i sux:niŋnam[anything]N sux:zu[know]V/t
114,Q000767,A dialogue between two unnamed scribes,,115,sux:ishab[rogue]N sux:di[speak]V/t sux:taka[abandon]V/t sux:me[be]V/i
115,Q000767,A dialogue between two unnamed scribes,,116,sux:lu[person]N sux:saŋ[head]N sux:gi[turn]V/i sux:inim[word]N sux:dab[seize]V/t
116,Q000767,A dialogue between two unnamed scribes,,117,sux:lu[person]N sux:gu[voice]N sux:rah[beat]V/t sux:šag[heart]N sux:didal[ashes]N sux:nud[lie]V/i
117,Q000767,A dialogue between two unnamed scribes,,118,sux:lu[person]N sux:šaŋar[starvation]N sux:ninda[bread]N sux:kar[flee]V/t
118,Q000767,A dialogue between two unnamed scribes,,119,sux:lu[person]N sux:dab[seize]V/t sux:bisaŋ[basket]N sux:e[house]N sux:diŋir[deity]N saŋ-bur₂-bi[NA]NA sux:kal[rare]V/i
119,Q000767,A dialogue between two unnamed scribes,,120,sux:zeza[croaker]N sux:gu[voice]N sux:de[pour]V/t sux:daggi[quarter]N sux:lu[mix]V/t
120,Q000767,A dialogue between two unnamed scribes,,121,sux:lu[person]N sux:pel[defile]V/t sux:teš[vigor]N sux:tuku[acquire]V/t sux:zu[know]V/t
121,Q000767,A dialogue between two unnamed scribes,,122,sux:lu[person]N sux:kar[insult]V/t niŋ₂-ur₂-ra[NA]NA sux:gu[eat]V/t
122,Q000767,A dialogue between two unnamed scribes,,123,sux:lu[person]N sux:saŋ.DU[smitten-person]N sux:dumu[child]N sux:lu[person]N sux:zu[know]V/t
123,Q000767,A dialogue between two unnamed scribes,,124,sux:kimanzer[locus]N sux:lu[person]N sux:kal[rare]V/i sux:zu[know]V/t
124,Q000767,A dialogue between two unnamed scribes,,125,sux:ursaŋ[hero]N sux:gub[stand]V/i sux:šu[hand]N sux:la[hang]V/t
125,Q000767,A dialogue between two unnamed scribes,,126,sux:gub[stand]V/i sux:gin[firm]V/i sux:tuš[sit]V/i sux:sag[good]V/i
126,Q000767,A dialogue between two unnamed scribes,,127,sux:šid[count]V/t sux:ul[hasten]V/i sux:sar[write]V/t sux:šu[hand]N sux:ur[drag]V/t
127,Q000767,A dialogue between two unnamed scribes,,128,sux:niŋ[thing]N sux:sar[write]V/t sux:gu[voice]N sux:de[pour]V/t
128,Q000767,A dialogue between two unnamed scribes,,129,sux:dugud[heavy]V/i sux:sar[write]V/t sux:šu[hand]N sux:zuhul[pierce]V/t
129,Q000767,A dialogue between two unnamed scribes,,130,sux:šid[count]V/t sux:du[suitable]V/i sux:sar[write]V/t sux:mete[appropriate-thing]N sux:nu[not]V/i
130,Q000767,A dialogue between two unnamed scribes,,131,sux:dub[tablet]N sux:tur[small]V/i sux:ul[hasten]V/i sux:til[complete]V/i
131,Q000767,A dialogue between two unnamed scribes,,132,sux:kigub[station]N sux:ugu[cvne]N sux:de[pour]V/t
132,Q000767,A dialogue between two unnamed scribes,,133,sux:kituš[dwelling]N sux:bir[scatter]V/t
133,Q000767,A dialogue between two unnamed scribes,,134,sux:dimma[thought]N sux:šub[fall]V/t sux:gu[voice]N ab-ta-giri₁₁-da[NA]NA
134,Q000767,A dialogue between two unnamed scribes,,135,sux:aba[who?]QP sux:gu[voice]N sux:de[pour]V/t
135,Q000767,A dialogue between two unnamed scribes,,136,sux:ana[what?]QP sux:ŋal[be]V/i sux:dud[combat]N sux:e[leave]V/i
136,Q000767,A dialogue between two unnamed scribes,,137,sux:gub[stand]V/i sux:lu₂.IM[criminal]N sux:gabal[fight]N sux:du[build]V/t sux:du[build]V/t
